id;lastname;firstname;patronymic;birthdate;position;shopId;gender;
1;Хорошилов;Сергей;Гаврилович;20.12.1997;3;1;1;
2;Констатинова;Валентина;Петровна;10.07.1999;2;1;0;
3;Сергеев;Евгений;Петрович;01.03.1997;4;2;1;
4;Петров;Валентин;Констатинович;21.05.1993;5;2;1;
5;Волошенко;Петр;Борисович;05.04.2002;1;3;1;
6;Иванова;Александра;Сергеевна;15.08.1990;5;3;0;
7;Монгуш;Алексей;Вячеславович;03.03.1993;4;4;1;
8;Сидоров;Виктор;Денисович;02.06.2001;2;4;1;
9;Викторов;Тимур;Викторович;17.03.2000;1;5;1
10;Миронов;Матвей;Аркадьевич;10.03.2000;2;5;1
11;Куприянов;Артем;Вячеславович;17.05.1999;3;6;1;
12;Петухов;Борис;Петрович;10.07.1994;4;2;1;
13;Щербакова;Евгения;Борисовна;01.03.1997;5;5;0;
14;Леонов;Сергей;Дмитриевич;21.05.1993;3;6;1;
15;Гордиенко;Мирон;Лаврентьевич;05.04.2002;2;2;1;
